CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,area_total,tipo_suelo,riesgo_sismo,pct_afectacion_sismo,riesgo_inundacion,severidad_inundacion,pct_afectacion_inundacion,riesgo_laderas,pct_afectacion_laderas,ruse_emergencias,pob_total,imu_2020,fracturas_count,fracturas_longitud_m,suma_riesgos,riesgo_sismo_label,riesgo_inundacion_label,riesgo_laderas_label,tipo_suelo_label,riesgo_sismo_norm,riesgo_inundacion_norm,riesgo_laderas_norm,pct_afectacion_sismo_norm,pct_afectacion_inundacion_norm,pct_afectacion_laderas_norm,fracturas_count_norm,fracturas_longitud_m_norm,imu_2020_norm,ruse_emergencias_norm,pob_total_norm,tipo_suelo_norm,area_total_norm,severidad_inundacion_norm,indice_riesgo_compuesto,riesgo_general,riesgo_general_label,alto_riesgo,sismo_x_inundacion,fracturas_por_area,pob_densidad,log_pob,log_area,indice_x_pob,indice_x_area,imu_x_indice,sismo_x_suelo
0901500010023,09,015,0001,0023,189037.0162948466,3.0,5.0,88.65900612585936,5.0,100.0,76.53426470463951,1.0,14.72654724092734,22.0,4902.0,123.527512557456,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.8865900612585936,0.7653426470463951,0.1472654724092734,0.0,0.0,0.7306631721322022,0.676923076923077,0.523909287886155,1.0,0.22014896914444484,1.0,0.724844978891913,5,Alto,1,25.0,0.0,25931.429177628397,8.497602541651233,12.14970341823213,0.3882631357185333,0.1784019676650705,89.53829723227972,15.0
0901500010466,09,015,0001,0466,417107.7918087616,3.0,5.0,86.76340964702857,5.0,100.0,94.96657331586661,1.0,12.611128398892578,32.5,9151.5,123.073241689919,13.0,76.30500765411102,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.8676340964702857,0.9496657331586661,0.1261112839889258,0.2712854757929879,1.0,0.6791534816723265,1.0,1.0,1.0,0.527326326716895,1.0,0.7840612231701873,5,Alto,1,25.0,31.16700348278396,21940.371720976724,9.121782344994392,12.941102358382361,0.7840612231701873,0.42580026744138444,96.49695641891799,15.0
0901500010926,09,015,0001,0926,250720.44142201619,3.0,4.0,75.37341802449873,5.0,100.0,99.76899419685108,1.0,23.574969022155138,30.0,3007.0,124.068949798498,28.0,76.30500765411102,10.0,Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),0.8,1.0,0.2,0.7537341802449873,0.9976899419685108,0.23574969022155137,0.5843071786310509,1.0,0.7920566417172844,0.9230769230769231,0.31160386384668304,1.0,0.303227353448119,1.0,0.7721630279155055,5,Alto,1,20.0,111.67816968250308,11993.437722688814,8.00903068506973,12.43209780670389,0.2537173386813009,0.2520614314857165,95.80145594670506,12.0
0901500011229,09,015,0001,1229,566255.4485766832,3.0,5.0,100.0,5.0,100.0,85.2583516277639,1.0,18.823534335205828,32.5,840.0,118.987512663349,3.0,74.92939638114487,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,1.0,0.852583516277639,0.18823534335205827,0.06260434056761259,0.9819722018874335,0.21587341574468524,1.0,0.06882504912713902,1.0,0.7282060009796667,1.0,0.740184321872376,5,Alto,1,25.0,5.297962266925075,1483.4294347390212,6.734591659972947,13.246802343929428,0.0679402098424079,0.5457075056597673,88.07269137200173,15.0
0901500011290,09,015,0001,1290,228865.0192588733,3.0,5.0,82.1281657770594,5.0,100.0,86.86374452964652,1.0,15.287173135680725,17.0,4939.0,122.297752505561,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.8212816577705939,0.8686374452964652,0.15287173135680723,0.0,0.0,0.5912209051066312,0.5230769230769231,0.5280545652948413,1.0,0.2737913557251447,1.0,0.7018789624923637,5,Alto,1,25.0,0.0,21580.405847926497,8.505120610181969,12.34089204257833,0.37879912536193894,0.20914587098421378,85.83821964375102,15.0
0901500011430,09,015,0001,1430,119139.42369110421,3.0,5.0,79.98540551881604,5.0,100.0,87.32362619133718,1.0,31.579535992678217,14.0,1325.0,125.050531684569,10.0,76.30500765411102,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.7998540551881603,0.8732362619133718,0.31579535992678215,0.20868113522537532,1.0,0.9033580319796027,0.4307692307692308,0.12316179353829676,1.0,0.12600732496266653,1.0,0.7406122424516854,5,Alto,0,25.0,83.93527255870612,11121.42361402856,7.189922170745808,11.688058107421984,0.10722954939064451,0.11488254105549262,92.61395469068418,15.0
090150001145A,09,015,0001,145A,263138.0533539588,3.0,5.0,100.0,5.0,100.0,89.85906945258846,1.0,29.410201029053393,25.0,3506.0,123.317574206009,4.0,76.30500765411102,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,1.0,0.8985906945258846,0.29410201029053396,0.08347245409015012,1.0,0.7068583009166579,0.7692307692307693,0.367509091601668,1.0,0.3199520267957639,1.0,0.7517099370055093,5,Alto,1,25.0,15.201146124689995,13323.80457829078,8.162516250140177,12.480437891413771,0.2879850340535776,0.2575381669164239,92.69904593807124,15.0
0901500011498,09,015,0001,1498,437314.6352281338,3.0,5.0,96.21503657368841,5.0,100.0,89.3002419613202,1.0,26.120432404673846,32.5,6019.0,122.371756190533,24.0,76.30500765411102,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.9621503657368841,0.8930024196132019,0.26120432404673843,0.5008347245409007,1.0,0.5996121693901327,1.0,0.6490518518186564,1.0,0.5545419344704817,1.0,0.8220778464095926,5,Alto,1,25.0,54.88039518156059,13763.545774908882,8.702842538302866,12.988410490770848,0.5406858501381564,0.4680740967954019,100.59910979047311,15.0
0901500011500,09,015,0001,1500,308731.06004749035,3.0,5.0,81.33472747138187,5.0,100.0,93.4562955143286,1.0,9.310281319604162,20.0,3145.0,124.251953769888,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.8133472747138186,0.934562955143286,0.09310281319604162,0.0,0.0,0.812807428511816,0.6153846153846154,0.3270646282358372,1.0,0.3813590145535951,1.0,0.7187850764796195,5,Alto,1,25.0,0.0,10186.85972028931,8.053887083618223,12.640229060126813,0.24701732672549895,0.288926267439429,89.3104500932311,15.0
0901500011515,09,015,0001,1515,196666.70878942905,3.0,5.0,89.26647178250276,5.0,100.0,88.66336087344969,1.0,21.954837021349707,15.0,3624.0,123.250654820174,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.8926647178250277,0.8866336087344969,0.21954837021349707,0.0,0.0,0.699270324014651,0.46153846153846156,0.3807291654996404,1.0,0.23042502829448358,1.0,0.7086843859344271,5,Alto,0,25.0,0.0,18427.114697283185,8.195609567288775,12.189270826129054,0.2806394814649362,0.18146437011659425,87.34581462725104,15.0
090150001152A,09,015,0001,152A,184941.80753730162,3.0,5.0,78.97770885436928,4.0,86.0,55.23526155922092,1.0,30.23845869036917,13.0,3565.0,122.366724879858,0.0,0.0,10.0,Muy Alto,Alto,Muy Bajo,Arenoso (Zona III),1.0,0.8,0.2,0.7897770885436928,0.5523526155922093,0.3023845869036917,0.0,0.0,0.5990416699942936,0.4,0.3741191285506542,1.0,0.21463333303536575,0.86,0.6511342505832102,3,Medio,0,20.0,0.0,19276.33371530102,8.179199798423085,12.127801907817211,0.25365170773415774,0.15678816947842136,79.6771657009682,15.0
0900700010290,09,007,0001,0290,61157.27010369085,3.0,5.0,76.53709478329273,5.0,100.0,89.88595296288803,1.0,13.438055661339945,1.0,1588.0,123.717457835608,2.0,76.30500765411102,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.7653709478329273,0.8988595296288803,0.13438055661339945,0.04173622704507506,1.0,0.7522010324290157,0.03076923076923077,0.15262687349733695,1.0,0.04791400202285421,1.0,0.6772540076586925,4,Medio-Alto,0,25.0,32.70257152762121,25965.841792931238,7.3708601665367155,11.02122037487664,0.11751946283800509,0.053927132317088525,83.78814413651082,15.0
0900700010303,09,007,0001,0303,49705.45760594923,3.0,5.0,83.39036285294958,5.0,100.0,89.84364850995667,1.0,30.4818810371564,2.0,1103.0,122.012227642419,1.0,48.058439790609604,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.8339036285294958,0.8984364850995666,0.304818810371564,0.02086811352253753,0.6298202604009621,0.5588452931753993,0.06153846153846154,0.09829012908617919,1.0,0.032490116632256205,1.0,0.6720924642772026,4,Medio-Alto,0,25.0,20.118515112117393,22190.722168665485,7.00669522683704,10.813890135353567,0.08100507983366163,0.04349514206956798,82.00349874814441,15.0
0900700010746,09,007,0001,0746,482053.18149482936,3.0,4.0,54.28162393884574,5.0,100.0,81.78156534363791,1.0,38.341879280605795,32.0,7993.0,120.253539052131,2.0,76.30500765411102,10.0,Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),0.8,1.0,0.2,0.5428162393884574,0.8178156534363791,0.38341879280605795,0.04173622704507506,1.0,0.35942791606686,0.9846153846153847,0.8702080032982964,1.0,0.61479809132736,1.0,0.6565802059342578,4,Medio-Alto,1,20.0,4.148919822078702,16581.158068937533,8.986446539271268,13.085811796455545,0.573462884339455,0.41208840099296123,78.95609343517148,12.0
0900700015592,09,007,0001,5592,205984.08566250425,3.0,5.0,66.77365999537406,5.0,100.0,84.40221667498041,1.0,36.66016664193913,11.0,1833.0,122.467496685391,11.0,76.30500765411102,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.6677365999537406,0.8440221667498041,0.3666016664193913,0.22954924874791283,1.0,0.6104681665650094,0.3384615384615385,0.18007533201431353,1.0,0.2429741468780843,1.0,0.7120670313290444,5,Alto,0,25.0,53.402183788232115,8898.74571671177,7.51425465281641,12.235559045454153,0.14262348996625016,0.19096870269321897,87.20506679906595,15.0
0900700013670,09,007,0001,3670,437897.2254671624,3.0,5.0,82.92919188980036,5.0,100.0,95.38535711032078,1.0,27.60449844752362,6.0,4143.0,121.454426395376,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.8292919188980037,0.9538535711032078,0.27604498447523623,0.0,0.0,0.4955963119473059,0.18461538461538463,0.43887508374580714,1.0,0.5553265967305588,1.0,0.6740462460322826,4,Medio-Alto,0,25.0,0.0,9461.124115550443,8.329416783939319,12.989741800411245,0.30514927578121037,0.3842992519989728,81.86590017580737,15.0
0900700014166,09,007,0001,4166,118518.64979077519,3.0,4.0,56.18634026373053,5.0,100.0,80.22151327128115,1.0,24.188568465134892,8.0,2650.0,124.128158692786,0.0,0.0,10.0,Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),0.8,1.0,0.2,0.5618634026373053,0.8022151327128115,0.24188568465134894,0.0,0.0,0.7987703273951322,0.24615384615384617,0.27160753857908854,1.0,0.12517123499926228,1.0,0.6221183578115104,3,Medio,0,20.0,0.0,22359.350234567562,7.8826922062890254,11.682834046829736,0.18014682272856936,0.09599914464017067,77.22240624412258,12.0
0900700014467,09,007,0001,4467,83472.1944694562,3.0,5.0,84.77267277329504,5.0,100.0,92.35997992500242,1.0,31.7720723306532,2.0,2193.0,123.467370282578,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.8477267277329504,0.9235997992500242,0.317720723306532,0.0,0.0,0.7238436506002246,0.06153846153846154,0.22040776085558525,1.0,0.0779688807580154,1.0,0.6783180130563397,4,Medio-Alto,0,25.0,0.0,26272.22171333298,7.693481640835175,11.33228083498172,0.16254727669043906,0.07371957666711816,83.75014128736967,15.0
0900700010534,09,007,0001,0534,397019.8618590995,3.0,5.0,78.67349764235033,5.0,100.0,100.0,1.0,28.227677768252182,16.0,4645.0,123.351207267522,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.7867349764235033,1.0,0.2822767776825218,0.0,0.0,0.7106719476009492,0.49230769230769234,0.49511641507446935,1.0,0.500270877691769,1.0,0.7029339339554662,5,Alto,0,25.0,0.0,11699.666556351,8.443761913330354,12.891744107052164,0.356786114104042,0.363357722310674,86.70774938271533,15.0
0900700015272,09,007,0001,5272,247383.25403088456,3.0,5.0,70.70832086056109,5.0,100.0,76.97149754756418,1.0,15.819016796011875,10.0,3347.0,121.222269267953,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.7070832086056109,0.7697149754756418,0.15819016796011875,0.0,0.0,0.4692720577937222,0.3076923076923077,0.349695602196773,1.0,0.2987326591926976,1.0,0.6715687211165965,4,Medio-Alto,0,25.0,0.0,13529.614254254024,8.116118431609365,12.418698091122339,0.24561443583863282,0.21630592190940165,81.40908434313089,15.0
0900700015357,09,007,0001,5357,201670.67605594176,3.0,5.0,98.59508576658901,5.0,100.0,70.12815204583572,1.0,15.453169712094853,9.0,3042.0,122.021912696673,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.9859508576658901,0.7012815204583572,0.15453169712094852,0.0,0.0,0.5599434797032193,0.27692307692307694,0.3155250722062511,1.0,0.2371646267320424,1.0,0.6962578579830476,5,Alto,0,25.0,0.0,15083.997631644645,8.02059914989697,12.214396287983181,0.2314392617586659,0.18281865738721337,84.95871556117999,15.0
0900700015361,09,007,0001,5361,409228.4149308762,3.0,5.0,85.73440660439526,5.0,100.0,91.03035556530938,1.0,26.37771914699801,6.0,2123.0,125.9028301600822,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.8573440660439526,0.9103035556530937,0.26377719146998013,0.0,0.0,1.0,0.18461538461538463,0.2125653441364491,1.0,0.5167139798994984,1.0,0.7015106022065932,5,Alto,0,25.0,0.0,5187.811800308639,7.66105638236183,12.922031194471376,0.16273911473360622,0.37377278103531,88.3221702051137,15.0
0900700012579,09,007,0001,2579,284310.93317949265,3.0,3.0,54.22783195991859,3.0,61.0,60.76817496430078,1.0,8.646935693577163,14.0,4417.0,120.301055816202,0.0,0.0,7.0,Medio,Medio,Muy Bajo,Arenoso (Zona III),0.6,0.6,0.2,0.5422783195991859,0.6076817496430078,0.08646935693577162,0.0,0.0,0.36481583324108274,0.4307692307692308,0.4695725434749972,1.0,0.34846874167232517,0.61,0.48177690338383516,2,Bajo-Medio,0,9.0,0.0,15535.807753166626,8.393442383980062,12.557827270657235,0.23253112410494453,0.1783393535325521,57.95827014493571,9.0
0900700012600,09,007,0001,2600,331526.1137492007,3.0,3.0,40.227173450913995,4.0,86.0,68.16599157460088,1.0,21.042066159406637,24.0,4667.0,121.390876731902,2.0,76.30500765411102,8.0,Medio,Alto,Muy Bajo,Arenoso (Zona III),0.6,0.8,0.2,0.40227173450913994,0.6816599157460088,0.21042066159406636,0.04173622704507506,1.0,0.48839042724656906,0.7384615384615385,0.49758117461476925,1.0,0.41206055597658325,0.86,0.5445540018721287,3,Medio,1,12.0,6.032707280226494,14077.322438408524,8.448485993406447,12.711464876361989,0.27770677230369056,0.23505329743088244,66.1038877151235,9.0
0900700010055,09,007,0001,0055,178111.44882187014,3.0,5.0,78.03466265525026,5.0,100.0,98.01109653371242,1.0,30.44396108280462,6.0,3701.0,124.684234682493,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.7803466265525025,0.9801109653371242,0.3044396108280462,0.0,0.0,0.8618236820099164,0.18461538461538463,0.3893558238906902,1.0,0.20543385740438916,1.0,0.688441991147773,4,Medio-Alto,0,25.0,0.0,20779.12466874256,8.216628493133442,12.090170364768023,0.27841597653258027,0.15964923421927152,85.8378627895517,15.0
0900700010106,09,007,0001,0106,146755.40294460123,3.0,5.0,83.97533692119936,5.0,100.0,69.4800530268682,1.0,0.0,7.0,1524.0,123.633318055494,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Arenoso (Zona III),1.0,1.0,0.2,0.8397533692119936,0.694800530268682,0.0,0.0,0.0,0.7426604381740228,0.2153846153846154,0.14545666392555529,1.0,0.16320193490227825,1.0,0.6893902145225838,4,Medio-Alto,0,25.0,0.0,10384.626183577688,7.3297496890415115,11.896529368388263,0.11480420553269055,0.1317245929166881,85.23159965641584,15.0
